Set,Tube,Envelope,Source,Ear,Sample,Rep,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Ca44,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Rb85,Sr88,Mo98,Cd111
R5,73,10,TX,1,base,1,23.3,44.1,1816,3.6,5673,4477,7769,169,140,10.7,37.7,0.0139,0.34,4.24,55.5,0.005,2.41,0.704,0.764,0.009
R5,74,11,TX,1,middle,1,41.1,93.5,1781,11.6,5604,4794,8893,79,75,8.18,47.4,0.0115,0.35,3.47,52.7,0.004,2.7,0.21,0.612,0.007
R5,75,12,TX,1,tip,1,27.7,53.3,1830,4.5,5670,4239,8617,65,54,7.79,35.9,0.0119,0.39,3.66,56.1,0.005,2.58,0.165,0.556,0.002
R5,76,13,TX,2,base,1,25.6,52.3,2036,4.1,6235,4929,8776,108,101,9.78,39.6,0.0135,0.35,4.08,56.6,0.007,2.27,0.4,0.684,0.006
R5,77,14,TX,2,middle,1,28.5,64.6,1912,5.3,5522,5385,8446,73,94,7.42,52.3,0.0127,0.37,2.69,44.9,0.003,2.26,0.267,0.589,0.023
R5,78,15,TX,2,tip,1,35.2,75.3,1983,7.2,6163,4635,8864,71,68,8.33,45.8,0.0109,0.42,5.14,64.7,0.007,2.41,0.21,0.495,0.011
R5,79,16,TX,3,base,1,25.3,54.6,1863,5.8,5823,4148,9025,97,93,10.1,30.7,0.0128,0.31,3.91,55.8,0.006,2.61,0.428,0.573,0.004
R5,80,17,TX,3,middle,1,24,52.7,1798,4.1,5447,4084,8751,56,52,7.82,33.1,0.0099,0.31,3.19,54.3,0.007,2.53,0.144,0.532,0.008
R5,81,18,TX,3,tip,1,39.8,80.2,2037,8.7,6122,4789,9176,96,89,8.92,43.1,0.0097,0.38,4.35,57.2,0.005,2.73,0.357,0.561,0.004
R5,82,10,TX,1,base,2,21.3,41.4,1794,3.4,5770,4170,8341,136,125,11.17,32.6,0.0094,0.32,3.98,55,0.005,2.36,0.558,0.654,0.009
R5,83,11,TX,1,middle,2,25.8,51.1,1774,4.5,5414,4389,8467,87,79,8.28,40.1,0.0147,0.26,3.06,47.1,0.008,2.39,0.255,0.574,0.006
R5,84,12,TX,1,tip,2,29,59.7,1766,5.9,5722,4534,9415,57,56,7.8,44.8,0.011,0.38,3.04,56,0.003,2.72,0.144,0.522,0.009
R5,85,13,TX,2,base,2,30.6,72.4,1867,5.8,5667,4789,7620,115,114,7.98,42,0.0091,0.27,3.22,44.2,0.01,1.9,0.493,0.576,0.005
R5,86,14,TX,2,middle,2,35.7,79.3,1841,6.7,5313,4670,8441,81,86,8.28,44.5,0.006,0.28,2.99,44.2,0.008,2.22,0.291,0.482,0.014
R5,87,15,TX,2,tip,2,28.4,61,2060,6,6085,4978,9305,59,62,8.74,44.3,0.01,0.36,3.17,57.5,0.006,2.46,0.169,0.546,0.005
R5,88,16,TX,3,base,2,29.8,67.6,2165,5.1,6455,4986,8728,174,174,12.79,35.9,0.013,0.41,4.49,62,0.008,2.55,0.702,0.634,0.007
R5,89,17,TX,3,middle,2,24.7,41.6,2042,3.8,6036,5350,10146,93,106,9.53,47.4,0.0141,0.4,3.2,52.2,0.007,2.82,0.308,0.51,0.005
R5,90,18,TX,3,tip,2,32.3,64.7,2133,5.4,6360,5551,10196,88,111,9.53,50.2,0.0131,0.45,3.78,54.9,0.002,2.81,0.276,0.541,0.011
R5,91,10,TX,1,base,3,26.3,53.6,2031,5.3,6431,5218,9418,119,132,10.91,45.2,0.0094,0.34,3.84,57.9,0.011,2.73,0.409,0.704,0.009
R5,92,11,TX,1,middle,3,36,72,2233,6.1,6274,6878,10823,115,141,9.91,68.8,0.0149,0.4,3.3,58.7,0.008,2.8,0.275,0.641,0.009
R5,93,12,TX,1,tip,3,37.4,92.3,1957,9.6,5695,4666,9164,51,52,7.08,43.5,0.0086,0.36,2.83,54.7,0.01,2.53,0.076,0.524,0.002
R5,94,13,TX,2,base,3,28.9,68.7,1999,7.1,6149,4314,8849,90,84,9.47,36.1,0.0109,0.29,3.8,53.7,0.009,2.27,0.318,0.622,0.005
R5,95,14,TX,2,middle,3,37.9,88.4,1776,8.7,5180,3973,8032,77,71,7.33,40.1,0.0099,0.27,2.49,39.6,0.003,2.1,0.317,0.517,0.007
R5,96,15,TX,2,tip,3,32.2,72,2033,5.6,6204,4254,8815,76,70,8.2,39.9,0.0122,0.4,4.41,61.3,0.006,2.35,0.201,0.568,0.006
R5,97,16,TX,3,base,3,31.8,68.6,1970,4.3,5955,4342,8785,132,123,10.73,35.7,0.0126,0.31,3.96,55,0.013,2.43,0.501,0.688,0.074
R5,98,17,TX,3,middle,3,30.4,60.1,1814,5.9,5367,4703,9433,95,98,8.84,55.7,0.0192,1,3.52,51.1,0.003,2.67,0.307,0.643,0.015
R5,99,18,TX,3,tip,3,36.2,94.9,1883,6,5675,4621,9085,107,100,8.64,50,0.0127,0.7,3.4,48.7,0.005,2.56,0.378,0.593,0.044
R5,100,10,TX,1,base,4,30.2,63.3,1736,5.3,5648,4127,8143,113,100,9.95,41.1,0.0167,0.68,3.45,52.8,0.011,2.37,0.369,0.766,0.025
R5,101,11,TX,1,middle,4,33.3,82.6,1820,8.5,5253,4255,8372,79,72,7.47,43.9,0.0157,0.3,2.76,47.6,0.008,2.35,0.259,0.601,0.04
R5,102,12,TX,1,tip,4,47.5,99.6,1951,7.5,5662,4478,9141,74,65,7.21,43.2,0.0103,0.41,2.57,54.4,0.009,2.5,0.179,0.507,0.026
R5,103,13,TX,2,base,4,41.1,105.6,1964,5,5806,3890,7548,129,106,9.56,35.9,0.0123,0.42,3.28,46,0.005,1.93,0.487,0.603,0.005
R5,104,14,TX,2,middle,4,49.5,123,1856,6.5,5365,4068,8034,92,81,7.97,40.4,0.0217,0.74,2.97,46.1,0.008,2.04,0.298,0.601,0.011
R5,105,15,TX,2,tip,4,47.4,98.8,2015,5.3,5673,4812,8734,76,76,7.55,50.6,0.0213,0.98,2.89,50.2,0.004,2.2,0.223,0.649,0.009
R5,106,16,TX,3,base,4,26.6,67.4,1872,5.3,5491,3848,8335,134,113,10.28,38.7,0.0317,1.19,3.38,52.4,0.009,2.23,0.537,0.694,0.009
R5,107,17,TX,3,middle,4,61.3,124.6,2043,10,5642,4393,8865,113,96,7.99,44,0.0148,0.35,3.26,49.3,0.007,2.61,0.395,0.493,0.01
R5,108,18,TX,3,tip,4,37.7,89.6,1960,5.8,5693,3794,9006,110,84,8.5,37.3,0.0135,0.37,3.53,52,0.003,2.52,0.325,0.54,0.007
R5,109,10,TX,1,base,5,38.3,111.7,1937,5,5824,4511,8105,172,149,9.08,45.1,0.0097,0.4,3.7,46.1,0.004,2.34,0.609,0.636,0.004
R5,110,11,TX,1,middle,5,48.2,142.4,1794,7.9,5321,4687,8709,98,96,8.17,56.2,0.0166,0.48,2.86,47,0.006,2.41,0.3,0.545,0.025
R5,111,12,TX,1,tip,5,53.2,135.6,2012,7.2,5978,4979,9537,76,64,8,53.1,0.0227,0.91,3.34,55.8,0.007,2.59,0.181,0.508,0.011
R5,112,13,TX,2,base,5,39.4,111.7,2082,5.8,6141,4775,8396,180,173,11.9,41.2,0.0213,0.91,3.82,59.4,0.008,2.15,0.706,0.672,0.026
