row,set,Tube,weights,Line,Su,B11,Na23,Mg25,Al27,Si29,P31,S34,K39,Ca44,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Mo98,Cd114
07U3988,R5,24,0.2893,(B73_Il14H)S5,NA,260.8443956,123.9842301,1984.109367,17.40293894,1218.975098,3482.722606,1816.559232,3828.661504,107.5433791,5.960359552,24.86061844,0.002439038,0.327647772,0.844830009,15.64779761,0.157995639,0.21894779,2.968565773,0.159500436,0.037319845
07U3989,R5,25,0.264,(B73_Il14H)S5,NA,214.1295203,102.8889801,2134.786786,17.3463947,1234.835844,3444.656793,1696.424203,3773.679623,97.4571444,8.959577497,27.64898517,0.004411511,0.699109729,1.229256721,22.93511421,0.165838165,0.283550405,2.039975052,0.146709528,0.057622445
07U3990,R5,26,0.3346,(B73_Il14H)S5,NA,192.5840308,94.93317141,2084.503759,11.43264912,880.3410839,3538.360189,1626.081988,3538.296184,94.09483419,8.029334975,24.83506573,0.003041017,0.221488521,0.829428802,13.58765191,0.142501775,0.14304682,2.280422032,0.149541934,0.004094703
07U3991,R5,27,0.2029,B73,NA,443.9100991,210.2003016,1848.885256,33.34453759,1925.593754,3067.838302,1885.597895,3691.311769,129.2766053,5.686543277,31.18452921,0.004911099,0.252613214,0.869085274,23.33073387,0.199476988,0.469643248,3.385970551,0.141666047,0.00439689
07U3992,R5,28,0.1921,(B73_Il14H)S5,NA,251.0397769,132.007805,2005.74007,13.92627564,1248.688432,3544.76322,1890.511747,3055.416573,200.8945236,4.254311289,27.94211533,0.004468884,0.184875859,0.944724025,55.93942611,0.236191077,0.515463888,3.505694762,0.122253917,0.008135141
07U3993,R5,29,0.2564,(B73_Il14H)S5,NA,214.7902807,114.2045775,1904.258864,10.68926235,1026.719959,3580.969851,1670.557803,3318.710614,167.7045911,6.068881757,23.84916531,0.002790395,0.271493392,1.346051764,63.74664699,0.189809062,0.492692083,2.020963348,0.125135009,0.004202174
07U3994,R5,30,0.1242,(B73_Il14H)S5,NA,462.8919023,233.7950798,2311.674314,28.12642659,2074.406716,4833.956244,2679.422085,6714.902137,244.1718881,6.049379242,41.46916567,0.003583604,0.396364048,2.611195924,18.38717399,0.38708131,0.583609006,4.639820815,0.206938094,0.01502253
07U3995,R5,31,0.1755,(B73_Il14H)S5,NA,282.4359295,149.6776262,1993.645208,15.22941108,1196.543025,3747.978236,1915.500828,3370.236661,150.1071116,6.385184051,29.25010067,0.003434429,0.378890477,1.40387081,11.85513632,0.279416731,0.494259654,4.263712959,0.132164926,0.004592454
07U3996,R5,32,0.1701,(B73_Il14H)S5,NA,315.0285582,161.8242389,2305.30866,19.6623748,1297.685493,3819.504207,2021.770037,3636.870684,180.0902763,9.388945299,33.90265534,0.005707796,0.126547099,1.33902743,20.86398607,0.280806853,0.582994218,2.011515258,0.1209953,0.009276331
07U3997,R5,33,0.1945,(B73_Il14H)S5,NA,266.8716806,134.8251368,1774.258799,14.23425071,1224.909121,2755.879472,1915.323198,2913.34856,136.8013513,3.836566626,29.83896489,0.003150538,0.421069833,1.155275813,17.1406094,0.259416477,0.287538937,1.636824723,0.072940382,0.005325475
